image_id,status,reason,logged_at_utc
"LT05_135045_20110204,LT05_135046_20110204",ok,length_m=52474.1 rss_mb=702 peak_mb=942,2026-08-24T05:34:24.960357+00:00
"LT05_136045_20111110,LT05_136046_20111110",ok,length_m=69541.4 rss_mb=702 peak_mb=942,2026-08-24T05:34:51.213448+00:00
"LE07_135045_20121129,LE07_135046_20121129",ok,length_m=27419.3 rss_mb=702 peak_mb=942,2026-08-24T05:35:14.792033+00:00
"LE07_136045_20121206,LE07_136046_20121206",ok,length_m=49238.3 rss_mb=703 peak_mb=942,2026-08-24T05:35:39.737354+00:00
"LE07_135045_20121215,LE07_135046_20121215",ok,length_m=28766.0 rss_mb=703 peak_mb=942,2026-08-24T05:36:02.316627+00:00
"LE07_136045_20130123,LE07_136046_20130123",ok,length_m=47254.8 rss_mb=702 peak_mb=942,2026-08-24T05:36:28.667823+00:00
"LC08_135045_20131108,LC08_135046_20131108",ok,length_m=50931.9 rss_mb=702 peak_mb=942,2026-08-24T05:36:52.958948+00:00
"LC08_136045_20140118,LC08_136046_20140118",ok,length_m=84389.0 rss_mb=703 peak_mb=942,2026-08-24T05:37:21.267903+00:00
"LC08_135045_20141213,LC08_135046_20141213",ok,length_m=44812.2 rss_mb=703 peak_mb=942,2026-08-24T05:37:47.194702+00:00
"LC08_136045_20141220,LC08_136046_20141220",ok,length_m=76257.5 rss_mb=703 peak_mb=942,2026-08-24T05:38:16.279852+00:00
"LC08_135045_20151130,LC08_135046_20151130",ok,length_m=48169.5 rss_mb=703 peak_mb=942,2026-08-24T05:38:39.102689+00:00
"LC08_136045_20160108,LC08_136046_20160108",ok,length_m=88653.4 rss_mb=703 peak_mb=942,2026-08-24T05:39:07.424159+00:00
"20161120T042052_20161120T042434_T46QCJ,20161120T042052_20161120T042434_T46QDH,20161120T042052_20161120T042434_T46QDJ",ok,length_m=57599.8 rss_mb=720 peak_mb=3122,2026-08-24T05:42:05.839013+00:00
"20171120T042049_20171120T042828_T46QCJ,20171120T042049_20171120T042828_T46QDJ",ok,length_m=81731.5 rss_mb=719 peak_mb=3138,2026-08-24T05:44:43.279175+00:00
"20181130T042121_20181130T042551_T46QCJ,20181130T042121_20181130T042551_T46QDH,20181130T042121_20181130T042551_T46QDJ",ok,length_m=65154.5 rss_mb=719 peak_mb=3138,2026-08-24T05:47:25.670052+00:00
